Player(1) heu wins: 	 Player(2) heu wins: 	 tree iterations:
38 	 37	5000
Game	winner	moves:
1	2	32
2	1	32
3	1	32
4	1	32
5	1	32
6	1	32
7	2	32
8	1	32
9	2	32
10	1	32
11	1	32
12	2	32
13	2	32
14	2	32
15	2	32
16	1	32
17	2	32
18	1	32
19	2	32
20	2	32
21	1	32
22	1	32
23	2	32
24	2	32
25	2	32
26	1	32
27	1	32
28	1	32
29	1	32
30	1	32
31	2	32
32	2	32
33	1	32
34	1	32
35	2	32
36	1	32
37	2	32
38	1	32
39	1	32
40	1	32
41	1	32
42	2	32
43	2	32
44	2	32
45	1	32
46	1	32
47	1	32
48	2	32
49	2	32
50	2	32
51	1	32
52	2	32
53	2	32
54	1	32
55	1	32
56	2	32
57	2	32
58	1	32
59	1	32
60	2	32
61	1	32
62	1	32
63	2	32
64	1	32
65	2	32
66	2	32
67	1	32
68	2	32
69	2	32
70	2	33
71	2	32
72	1	32
73	2	32
74	2	33
75	1	32
