Player(1) MCTS_MAST wins: 	 Player(2) MCTS_MAST wins: 	 tree iterations:
40 	 35	5000
Game	winner	moves:
1	2	32
2	2	33
3	2	32
4	2	33
5	2	33
6	2	32
7	1	32
8	1	32
9	1	32
10	1	32
11	1	32
12	1	32
13	1	32
14	2	32
15	1	32
16	1	32
17	2	32
18	1	32
19	2	32
20	1	33
21	1	32
22	2	32
23	2	32
24	2	32
25	1	32
26	1	32
27	1	32
28	2	32
29	2	32
30	1	32
31	1	32
32	1	33
33	1	32
34	2	32
35	2	32
36	2	32
37	1	32
38	1	32
39	2	32
40	1	32
41	2	32
42	2	32
43	1	32
44	2	32
45	1	32
46	2	33
47	1	32
48	1	32
49	1	32
50	2	32
51	1	32
52	2	32
53	2	32
54	2	32
55	1	33
56	2	32
57	1	32
58	1	32
59	2	32
60	1	32
61	1	32
62	2	32
63	2	32
64	2	33
65	1	32
66	2	32
67	2	32
68	1	32
69	1	32
70	1	32
71	1	32
72	2	32
73	1	32
74	2	32
75	1	32
