Player(1) MCTS_MAST wins: 	 Player(2) MCTS wins: 	 tree iterations:
28 	 47	5000
Game	winner	moves:
1	2	32
2	2	32
3	2	32
4	1	33
5	2	32
6	2	32
7	1	32
8	2	32
9	2	32
10	1	32
11	1	32
12	1	32
13	2	32
14	2	32
15	1	32
16	2	33
17	2	32
18	1	32
19	1	32
20	1	32
21	2	32
22	1	32
23	1	32
24	1	32
25	1	32
26	2	32
27	2	32
28	2	32
29	1	33
30	2	32
31	2	32
32	2	32
33	2	32
34	2	32
35	2	32
36	1	32
37	2	33
38	1	32
39	1	32
40	1	32
41	1	32
42	2	32
43	2	32
44	2	32
45	1	32
46	2	32
47	2	32
48	2	33
49	1	32
50	2	32
51	2	32
52	1	32
53	1	32
54	2	32
55	2	33
56	2	32
57	1	32
58	2	33
59	2	32
60	1	32
61	2	32
62	1	32
63	2	33
64	2	32
65	2	32
66	1	32
67	2	32
68	2	32
69	2	33
70	2	32
71	2	32
72	2	32
73	2	32
74	1	32
75	2	32
