Player(1) MCTS wins: 	 Player(2) heu wins: 	 tree iterations:
18 	 57	5000
Game	winner	moves:
1	2	32
2	1	32
3	2	32
4	1	32
5	2	32
6	2	32
7	2	32
8	1	32
9	2	32
10	2	32
11	2	32
12	2	32
13	2	32
14	2	32
15	2	32
16	2	32
17	2	32
18	1	32
19	2	32
20	1	32
21	2	32
22	2	33
23	1	32
24	1	32
25	2	32
26	2	32
27	2	32
28	2	32
29	2	32
30	2	32
31	2	32
32	2	32
33	2	32
34	2	32
35	2	32
36	2	32
37	2	32
38	2	32
39	2	32
40	2	32
41	2	32
42	2	33
43	1	32
44	1	32
45	2	32
46	2	32
47	2	32
48	1	32
49	1	32
50	2	32
51	2	32
52	1	32
53	1	32
54	2	33
55	2	32
56	1	32
57	1	32
58	2	32
59	2	32
60	2	32
61	1	32
62	2	32
63	2	34
64	2	32
65	2	33
66	2	32
67	2	32
68	1	32
69	2	32
70	2	32
71	1	33
72	2	32
73	2	32
74	2	32
75	2	32
