Player(1) MCTS wins: 	 Player(2) MCTS_MAST wins: 	 tree iterations:
45 	 30	5000
Game	winner	moves:
1	1	32
2	2	32
3	2	32
4	1	32
5	2	32
6	2	32
7	1	33
8	2	32
9	1	32
10	2	32
11	1	33
12	2	32
13	1	32
14	1	32
15	2	33
16	1	32
17	1	32
18	2	32
19	1	32
20	2	32
21	2	32
22	1	32
23	1	32
24	1	32
25	1	33
26	1	32
27	2	32
28	1	32
29	2	33
30	1	32
31	2	32
32	2	32
33	2	32
34	1	32
35	1	32
36	2	32
37	1	32
38	2	32
39	1	32
40	1	32
41	2	32
42	1	32
43	1	32
44	2	32
45	2	32
46	2	32
47	2	32
48	1	32
49	1	32
50	1	32
51	1	32
52	1	32
53	2	32
54	1	32
55	1	32
56	1	32
57	2	32
58	1	32
59	1	33
60	2	32
61	1	32
62	2	33
63	1	32
64	1	32
65	2	32
66	1	32
67	1	32
68	2	32
69	2	33
70	1	32
71	1	32
72	1	32
73	1	32
74	1	32
75	1	32
