Player(1) MCTS wins: 	 Player(2) MCTS_RAVE wins: 	 tree iterations:
33 	 42	5000
Game	winner	moves:
1	1	32
2	2	32
3	1	32
4	2	32
5	2	32
6	2	32
7	2	32
8	2	32
9	1	32
10	2	33
11	2	32
12	2	32
13	1	32
14	2	33
15	1	32
16	1	32
17	1	32
18	2	32
19	2	32
20	2	32
21	1	32
22	2	33
23	2	33
24	1	32
25	2	32
26	1	32
27	2	32
28	2	32
29	1	32
30	1	32
31	2	32
32	2	32
33	1	32
34	1	32
35	1	32
36	2	32
37	1	32
38	1	32
39	1	32
40	2	32
41	2	33
42	2	32
43	2	32
44	1	32
45	2	32
46	2	32
47	1	32
48	2	32
49	2	32
50	2	32
51	2	32
52	1	32
53	2	32
54	1	32
55	1	33
56	2	33
57	2	32
58	1	32
59	2	33
60	2	32
61	1	32
62	1	33
63	2	32
64	2	32
65	1	32
66	1	32
67	2	32
68	1	32
69	1	32
70	2	32
71	2	32
72	1	32
73	1	32
74	1	32
75	2	32
