Player(1) MCTS_RAVE wins: 	 Player(2) heu wins: 	 tree iterations:
17 	 58	5000
Game	winner	moves:
1	2	32
2	2	32
3	2	32
4	2	32
5	1	32
6	1	32
7	2	33
8	2	32
9	1	32
10	2	32
11	1	32
12	2	32
13	2	32
14	2	32
15	2	32
16	1	32
17	1	32
18	2	32
19	2	32
20	2	32
21	2	32
22	2	32
23	2	32
24	2	32
25	2	32
26	2	32
27	2	33
28	1	32
29	1	11
30	2	32
31	2	32
32	1	32
33	1	32
34	2	32
35	2	32
36	1	32
37	2	32
38	2	32
39	2	32
40	2	32
41	2	32
42	2	32
43	2	32
44	2	32
45	1	32
46	2	32
47	2	32
48	2	32
49	1	32
50	2	32
51	1	11
52	2	33
53	2	32
54	2	33
55	2	32
56	2	33
57	2	32
58	2	32
59	2	33
60	2	32
61	2	32
62	1	11
63	2	32
64	2	33
65	1	32
66	2	32
67	2	33
68	2	32
69	2	32
70	2	32
71	1	32
72	2	32
73	2	32
74	2	32
75	2	32
