Player(1) MCTS_RAVE wins: 	 Player(2) MCTS_MAST wins: 	 tree iterations:
42 	 33	1000
Game	winner	moves:
1	1	32
2	1	32
3	2	33
4	1	32
5	2	32
6	2	33
7	1	32
8	2	32
9	1	33
10	2	32
11	1	32
12	1	32
13	1	32
14	1	32
15	1	32
16	1	32
17	2	32
18	1	32
19	1	32
20	1	32
21	1	32
22	1	32
23	2	32
24	2	32
25	1	32
26	1	32
27	2	32
28	1	32
29	2	32
30	2	32
31	2	32
32	2	32
33	1	32
34	2	33
35	2	32
36	2	32
37	2	32
38	1	32
39	1	32
40	2	32
41	1	32
42	1	32
43	1	32
44	1	32
45	2	33
46	2	32
47	1	32
48	1	32
49	1	32
50	2	33
51	1	32
52	2	32
53	1	32
54	2	32
55	1	32
56	1	32
57	1	32
58	1	32
59	1	32
60	1	32
61	1	32
62	2	32
63	2	32
64	1	32
65	2	32
66	2	32
67	1	32
68	2	32
69	1	32
70	1	33
71	2	32
72	2	32
73	2	32
74	2	32
75	2	32
