Player(1) heu wins: 	 Player(2) MCTS_MAST wins: 	 tree iterations:
63 	 12	5000
Game	winner	moves:
1	1	32
2	1	32
3	2	32
4	1	32
5	1	32
6	1	32
7	1	32
8	1	32
9	1	32
10	1	32
11	1	32
12	1	32
13	1	32
14	2	32
15	1	32
16	2	32
17	2	32
18	1	32
19	1	32
20	1	32
21	2	32
22	1	32
23	1	32
24	2	32
25	1	32
26	1	32
27	1	32
28	1	32
29	1	32
30	1	32
31	1	33
32	2	32
33	1	32
34	1	32
35	1	32
36	2	32
37	1	32
38	1	32
39	1	33
40	1	32
41	1	32
42	2	32
43	1	33
44	1	32
45	1	32
46	1	32
47	1	32
48	1	32
49	1	32
50	1	32
51	1	32
52	1	32
53	1	32
54	1	32
55	1	32
56	2	32
57	1	32
58	1	32
59	1	32
60	1	32
61	1	32
62	1	32
63	1	32
64	2	33
65	1	32
66	1	32
67	1	32
68	2	32
69	1	32
70	1	32
71	1	33
72	1	32
73	1	32
74	1	32
75	1	32
