Player(1) heu wins: 	 Player(2) MCTS_RAVE wins: 	 tree iterations:
69 	 6	5000
Game	winner	moves:
1	1	32
2	1	32
3	1	32
4	1	32
5	1	32
6	2	32
7	2	32
8	1	32
9	1	32
10	1	33
11	1	32
12	1	32
13	1	32
14	1	32
15	1	32
16	1	32
17	1	33
18	1	32
19	1	32
20	1	32
21	1	32
22	1	32
23	1	33
24	1	32
25	1	32
26	1	32
27	1	32
28	1	32
29	1	32
30	1	34
31	1	32
32	1	32
33	1	32
34	1	32
35	1	32
36	1	32
37	1	32
38	1	32
39	1	32
40	1	32
41	1	32
42	1	32
43	1	32
44	2	32
45	1	32
46	1	32
47	1	32
48	1	32
49	1	32
50	1	32
51	1	32
52	1	32
53	1	32
54	1	32
55	1	32
56	1	32
57	1	32
58	1	32
59	2	32
60	1	32
61	1	32
62	1	33
63	1	32
64	1	33
65	1	32
66	1	32
67	1	33
68	1	32
69	1	32
70	1	32
71	2	32
72	1	32
73	1	32
74	2	33
75	1	32
