Player(1) MCTS_MAST wins: 	 Player(2) MCTS wins: 	 tree iterations:
20 	 55	1000
Game	winner	moves:
1	2	32
2	2	33
3	1	32
4	2	32
5	1	32
6	2	32
7	1	32
8	2	32
9	2	32
10	2	33
11	2	32
12	2	32
13	1	32
14	2	32
15	1	32
16	2	32
17	2	32
18	2	31
19	1	32
20	1	32
21	2	33
22	2	32
23	1	32
24	2	32
25	1	32
26	2	32
27	2	32
28	2	32
29	2	32
30	2	32
31	2	32
32	1	32
33	2	33
34	2	32
35	2	32
36	1	32
37	2	32
38	1	32
39	2	32
40	1	32
41	2	32
42	2	32
43	2	32
44	2	32
45	2	32
46	1	32
47	2	32
48	2	32
49	1	32
50	2	32
51	2	32
52	2	32
53	2	32
54	2	32
55	2	33
56	2	32
57	1	32
58	2	32
59	2	32
60	1	32
61	2	33
62	2	32
63	1	33
64	2	32
65	2	32
66	2	32
67	2	32
68	2	33
69	2	32
70	2	32
71	2	32
72	1	32
73	2	33
74	2	33
75	1	32
