Player(1) MCTS_MAST wins: 	 Player(2) MCTS_RAVE wins: 	 tree iterations:
31 	 44	1000
Game	winner	moves:
1	2	32
2	1	32
3	2	32
4	1	32
5	2	32
6	2	32
7	2	32
8	2	32
9	2	32
10	2	32
11	2	32
12	2	32
13	1	32
14	2	32
15	1	31
16	2	32
17	2	32
18	2	32
19	2	32
20	1	32
21	2	32
22	2	32
23	2	32
24	2	32
25	2	32
26	2	32
27	1	32
28	1	32
29	1	32
30	2	32
31	1	32
32	2	32
33	2	32
34	1	32
35	2	32
36	1	31
37	2	32
38	2	34
39	1	32
40	1	32
41	2	32
42	1	33
43	2	32
44	2	32
45	1	32
46	1	32
47	1	32
48	2	32
49	2	33
50	1	32
51	1	32
52	2	32
53	1	32
54	2	33
55	2	32
56	1	32
57	1	32
58	2	7
59	2	32
60	1	32
61	1	32
62	1	32
63	2	32
64	2	32
65	2	32
66	1	32
67	1	32
68	2	32
69	1	32
70	1	32
71	2	32
72	2	32
73	1	32
74	1	32
75	2	32
