Player(1) MCTS wins: 	 Player(2) MCTS_MAST wins: 	 tree iterations:
43 	 32	1000
Game	winner	moves:
1	1	32
2	1	32
3	2	32
4	1	32
5	1	32
6	2	32
7	1	32
8	1	32
9	2	32
10	2	32
11	1	32
12	1	32
13	1	32
14	1	32
15	1	32
16	2	32
17	1	33
18	1	32
19	1	32
20	1	32
21	1	32
22	1	32
23	2	32
24	2	32
25	1	32
26	1	32
27	2	32
28	1	32
29	2	32
30	2	32
31	2	32
32	2	32
33	1	32
34	1	32
35	1	32
36	1	32
37	2	32
38	2	32
39	2	32
40	1	32
41	1	32
42	1	32
43	2	32
44	1	32
45	1	32
46	1	32
47	1	32
48	1	32
49	2	32
50	2	32
51	1	32
52	2	33
53	2	32
54	1	32
55	2	32
56	1	32
57	1	32
58	2	32
59	2	32
60	1	32
61	2	32
62	1	32
63	1	32
64	2	33
65	2	33
66	1	32
67	2	32
68	1	32
69	2	32
70	2	32
71	2	32
72	2	32
73	1	32
74	1	32
75	2	32
