Player(1) MCTS wins: 	 Player(2) MCTS wins: 	 tree iterations:
36 	 39	5000
Game	winner	moves:
1	2	32
2	1	32
3	1	32
4	1	32
5	2	32
6	2	32
7	1	32
8	2	32
9	1	32
10	2	32
11	1	32
12	2	32
13	2	32
14	1	33
15	1	32
16	2	32
17	1	32
18	2	32
19	2	32
20	2	32
21	2	32
22	1	32
23	2	32
24	2	32
25	1	32
26	1	32
27	2	32
28	2	32
29	1	32
30	2	32
31	2	32
32	1	32
33	1	33
34	1	32
35	2	32
36	2	32
37	2	32
38	2	33
39	2	32
40	1	32
41	1	32
42	2	32
43	1	32
44	1	32
45	2	32
46	1	32
47	2	32
48	2	33
49	2	33
50	2	32
51	1	32
52	1	32
53	1	32
54	2	32
55	2	32
56	1	32
57	2	32
58	2	32
59	1	32
60	1	32
61	1	32
62	2	32
63	1	32
64	2	32
65	1	32
66	2	32
67	1	32
68	1	32
69	2	32
70	2	34
71	1	32
72	1	33
73	1	32
74	1	32
75	2	32
