Player(1) MCTS wins: 	 Player(2) MCTS_RAVE wins: 	 tree iterations:
32 	 43	1000
Game	winner	moves:
1	2	32
2	2	32
3	2	32
4	1	32
5	2	33
6	1	32
7	1	32
8	1	32
9	2	32
10	1	32
11	2	32
12	1	32
13	1	32
14	2	32
15	1	32
16	2	32
17	1	32
18	2	32
19	2	32
20	2	32
21	1	32
22	2	32
23	2	32
24	2	32
25	2	32
26	1	32
27	2	32
28	2	33
29	1	32
30	1	33
31	1	32
32	1	32
33	1	32
34	1	32
35	2	32
36	2	32
37	1	33
38	1	32
39	2	32
40	2	32
41	2	33
42	1	32
43	1	32
44	2	32
45	2	32
46	1	32
47	2	32
48	2	33
49	1	32
50	2	32
51	2	32
52	2	32
53	1	32
54	2	32
55	1	32
56	1	32
57	2	32
58	1	32
59	2	32
60	2	32
61	1	32
62	2	32
63	1	32
64	1	32
65	2	32
66	2	32
67	1	32
68	2	32
69	2	32
70	1	32
71	2	32
72	2	32
73	2	32
74	2	32
75	2	32
