Player(1) MCTS_RAVE wins: 	 Player(2) heu wins: 	 tree iterations:
19 	 56	1000
Game	winner	moves:
1	1	32
2	1	32
3	2	32
4	2	32
5	2	32
6	2	32
7	2	32
8	2	32
9	2	32
10	2	32
11	1	32
12	2	32
13	2	32
14	2	32
15	2	32
16	2	32
17	2	32
18	2	32
19	2	32
20	2	32
21	1	32
22	1	32
23	1	32
24	2	32
25	2	32
26	1	32
27	2	32
28	2	32
29	2	32
30	2	32
31	2	32
32	1	32
33	1	32
34	2	33
35	2	32
36	2	32
37	1	32
38	1	32
39	2	32
40	2	32
41	2	32
42	2	33
43	1	32
44	1	32
45	2	32
46	1	32
47	2	32
48	2	32
49	2	32
50	2	32
51	1	32
52	2	33
53	2	32
54	2	32
55	2	33
56	2	32
57	2	32
58	1	32
59	2	33
60	2	32
61	2	32
62	2	32
63	2	32
64	2	33
65	2	32
66	2	32
67	1	32
68	2	32
69	2	33
70	1	32
71	2	32
72	1	32
73	2	32
74	2	32
75	2	32
