Player(1) MCTS_RAVE wins: 	 Player(2) MCTS_MAST wins: 	 tree iterations:
51 	 24	5000
Game	winner	moves:
1	1	32
2	1	32
3	1	32
4	1	33
5	2	32
6	1	32
7	2	33
8	1	32
9	1	32
10	2	32
11	2	32
12	2	32
13	1	32
14	1	32
15	1	32
16	1	32
17	2	32
18	1	32
19	2	32
20	1	32
21	2	32
22	2	32
23	1	32
24	2	32
25	2	33
26	2	32
27	2	33
28	2	32
29	2	32
30	1	32
31	2	32
32	1	32
33	1	32
34	1	32
35	1	32
36	1	32
37	2	32
38	1	32
39	1	32
40	1	32
41	1	32
42	2	32
43	1	32
44	1	32
45	1	32
46	1	32
47	1	32
48	1	32
49	1	32
50	1	32
51	2	32
52	2	32
53	1	32
54	1	33
55	1	32
56	1	33
57	1	32
58	1	32
59	1	32
60	2	32
61	1	33
62	1	32
63	2	32
64	1	32
65	2	32
66	1	32
67	1	32
68	1	32
69	1	32
70	1	32
71	1	32
72	1	32
73	1	32
74	1	32
75	2	32
