Player(1) MCTS_RAVE wins: 	 Player(2) MCTS wins: 	 tree iterations:
36 	 39	5000
Game	winner	moves:
1	2	32
2	2	32
3	1	32
4	1	32
5	2	32
6	1	32
7	2	32
8	1	32
9	2	33
10	2	32
11	1	32
12	2	32
13	2	31
14	2	32
15	1	32
16	2	32
17	2	34
18	1	32
19	1	33
20	2	32
21	2	33
22	2	34
23	1	32
24	2	32
25	1	32
26	1	32
27	1	32
28	1	32
29	1	33
30	1	32
31	1	32
32	2	32
33	2	32
34	1	32
35	2	32
36	2	32
37	1	32
38	2	32
39	2	32
40	1	32
41	1	32
42	2	32
43	1	32
44	2	32
45	2	32
46	2	32
47	1	32
48	1	32
49	1	32
50	2	32
51	2	32
52	2	32
53	1	32
54	1	32
55	2	32
56	1	32
57	1	32
58	2	32
59	2	32
60	2	32
61	2	32
62	2	32
63	2	32
64	1	32
65	2	32
66	2	32
67	1	32
68	2	32
69	1	32
70	1	32
71	1	32
72	1	32
73	1	32
74	2	33
75	1	32
