Player(1) MCTS_RAVE wins: 	 Player(2) MCTS_RAVE wins: 	 tree iterations:
36 	 39	5000
Game	winner	moves:
1	1	32
2	2	32
3	2	32
4	2	32
5	1	32
6	1	32
7	1	32
8	1	32
9	2	32
10	2	32
11	1	32
12	2	32
13	1	32
14	2	32
15	1	32
16	2	33
17	2	32
18	2	32
19	2	32
20	2	32
21	2	32
22	1	32
23	1	32
24	2	32
25	2	32
26	2	32
27	2	33
28	1	32
29	2	32
30	1	32
31	1	32
32	2	32
33	1	32
34	1	32
35	1	32
36	2	32
37	1	32
38	2	32
39	2	32
40	2	32
41	2	32
42	1	32
43	2	32
44	2	34
45	2	32
46	2	32
47	2	33
48	1	32
49	2	32
50	2	33
51	1	32
52	1	32
53	1	32
54	2	32
55	1	32
56	1	33
57	1	32
58	1	32
59	1	32
60	2	32
61	2	32
62	1	32
63	1	32
64	2	32
65	2	32
66	1	32
67	1	32
68	1	32
69	2	33
70	2	32
71	1	32
72	2	33
73	1	32
74	1	32
75	1	33
